"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*b<in>etik","acd-s_b.htm#816","tattooed, marked with a design"
"*binit","acd-s_b.htm#12605","to carry"
"*binit₁","acd-s_b.htm#1195","carry dangling from the fingertips"
"*b<in>uRuk","acd-s_b.htm#1771","to have become rotten"
"*biŋaq","acd-s_b.htm#1303","kind of volute shell"
"*biŋiC","acd-s_b.htm#1309","moody, irritable"
"*biŋis","acd-s_b.htm#1308","bare the teeth"
"*biqak","acd-s_b.htm#1209","split"
"*biqaŋ₃","acd-s_b.htm#11326","to split"
"*biqel","acd-s_b.htm#6463","goiter"
"*biqiR","acd-s_b.htm#1213","lopsided, off-balance"
"*biqut","acd-s_b.htm#1215","curved, crooked, bent"
"*biraŋ","acd-s_b.htm#1234","anger, angry"
"*biras₁","acd-s_b.htm#1228","scar"
"*birat","acd-s_b.htm#1231","scar"
"*birbir₁","acd-s_b.htm#1239","rim, edge, border"
"*birbir₂","acd-s_b.htm#1240","shiver, shake, tremble"
"*biriŋ₁","acd-s_b.htm#1250","side, edge"
"*birit₁","acd-s_b.htm#1243","to tear, rip"
"*birit₂","acd-s_b.htm#1245","buttocks"
"*biRaq₁","acd-s_b.htm#1219","wild taro, elephant's ear or itching taro,  spp.; sexual itch"
"*biRaq₂","acd-s_b.htm#1221","semen, smegma"
"*biRas₁","acd-s_b.htm#1226","semen, smegma"
"*biRaS","acd-s_b.htm#1224","roe, fish eggs"
"*biRaSu","acd-s_b.htm#1223","cane grass,  sp."
"*biReŋ","acd-s_b.htm#1241","dark hue, possibly dark red"
"*biRiŋ₁","acd-s_b.htm#1246","dark hue, possibly dark red"
"*biRu","acd-s_b.htm#1255","fan palm:"
"*bisbis","acd-s_b.htm#1257","sprinkle water on something"
"*biseq","acd-s_b.htm#1262","wet; wash the anus after defecating"
"*biseqak","acd-s_b.htm#1259","to split"
"*bisul","acd-s_b.htm#1268","boil, abscess"
"*bisuR","acd-s_b.htm#1269","satisfied from having eaten enough, satiated"
"*bitak₁","acd-s_b.htm#1272","break, split"
"*bitaquR","acd-s_b.htm#1275","a shore tree:"
"*bitas","acd-s_b.htm#1277","tear, rip"
"*bitbit₂","acd-s_b.htm#1279","pull at body part; hold something dangling from the fingers"
"*bities","acd-s_b.htm#1284","lower leg (below the knee); calf of the leg"
"*bitik₁","acd-s_b.htm#1285","snare, noose trap; spring up suddenly, jerk up (as a fishing line or noose trap)"
"*bitil₁","acd-s_b.htm#1288","hungry; starve"
"*bintiŋ","acd-s_b.htm#1204","carry between two or more persons"
"*bintiq","acd-s_b.htm#1201","calf-kicking contest"
"*bitiq₁","acd-s_b.htm#1290","small; few"
"*bituka","acd-s_b.htm#1107","stomach; large intestine"
"*bituŋ₁","acd-s_b.htm#1300","bamboo sp."
"*bituqen","acd-s_b.htm#1295","star"
"*bituqen pitu","acd-s_b.htm#1297","the Pleiades (= 'seven stars')"
"*bituqin","acd-s_b.htm#12626","star"
"*bua₁","acd-s_b.htm#1356","foam, bubbles, froth"
"*buak","acd-s_b.htm#1325","bubbling up (as spring water)"
"*bual₂","acd-s_b.htm#1328","gush or bubble up, of spring water"
"*buaq","acd-s_b.htm#1331","fruit; areca palm and nut; grain; berry; seed; nut; endosperm of a sprouting coconut; kidney; heart; finger; calf of the leg; testicle; various insects; scar tissue; roe; bud; flower; blossom; bear fruit; words, speech, or songs; meaning, contents of discussion; numeral classifier for roundish objects; buttock; Adam's apple; nipple of the breast; button; marble; tattooing"
"*buaq buaq","acd-s_b.htm#1346","(gloss uncertain)"
"*buaq na batu","acd-s_b.htm#1339","round stone (?)"
"*buaq ni bities","acd-s_b.htm#1340","calf of the leg"
"*buaq ni kahiw","acd-s_b.htm#1341","fruit (of a tree)"
"*buaq ni lima","acd-s_b.htm#1343","finger (lit. 'fruit of the hand')"
"*buaq ni qatay","acd-s_q.htm#4127","heart (figurative); term of endearment"
"*buat₁","acd-s_b.htm#1350","harvest fruits"
"*buat₂","acd-s_b.htm#1353","like, similar to, resemble"
"*buay₁","acd-s_b.htm#1354","legumes, beans"
"*buay₂","acd-s_b.htm#1355","(gloss uncertain)"
"*bubu₂","acd-s_b.htm#1366","conical bamboo basket trap for fish"
"*bubu₄","acd-s_b.htm#1369","fontanelle"
"*bubu₆","acd-s_b.htm#1370","grandparent/grandchild (reciprocal term of address)"
"*bu-bulu","acd-s_b.htm#11263","betel pepper:"
"*bubun₁","acd-s_b.htm#1363","well, cistern; spring"
"*bubun₂","acd-s_b.htm#1639","fontanelle; crown of the head"
"*bubuŋ₁","acd-s_b.htm#1374","ridge of the roof; ridge of a mountain, peak; deck of a boat; cover the ridgepole with thatch"
"*bubuŋ₂","acd-s_b.htm#1379","well, cistern; spring"
"*bubuŋ-an","acd-s_b.htm#1375","roof; ridge of the roof"
"*bubuŋ-en","acd-s_b.htm#1377","roof; ridge of the roof"
"*bubuq","acd-s_b.htm#1364","increase, growth"
"*bubuR₁","acd-s_b.htm#1365","jellyfish"
"*bubuR₃","acd-s_b.htm#10824","a tall forest tree which emits an unpleasant odor:"
"*buCaq","acd-s_b.htm#1380","foam, froth"
"*budaq₁","acd-s_b.htm#1407","foam, bubbles, lather, scum, froth"
"*budaq₂","acd-s_b.htm#1411","immerse, dip in water"
"*budaq₃","acd-s_b.htm#1413","unnaturally white; albino"
"*budbud₁","acd-s_b.htm#1415","sprinkle seed, sow seed in dibble holes"
"*budu","acd-s_b.htm#1422","tip, extremity"
"*bunduk","acd-s_b.htm#1645","elevated ground"
"*buhaŋ","acd-s_b.htm#1449","hole, pit"
"*buhat₂","acd-s_b.htm#1431","do, make, create, perform; to work; to wager: deed; thing; creation; behavior, conduct, performance; work; a bet; because, on account of, through the action of; need, use for something; necessary; for (benefactive)"
"*buhat₃","acd-s_b.htm#1443","to lift, stand up, arise, emerge, begin, depart, carry; cargo; take something; take a wife"
"*buhat-an₁","acd-s_b.htm#1445","lifted, carried"
"*buhat-an₂","acd-s_b.htm#1435","made, created; thing made or created"
"*buhek","acd-s_b.htm#1500","head hair"
"*buhet","acd-s_b.htm#1450","squirrel"
"*buhuk","acd-s_b.htm#1787","drunkenness, intoxication"
"*bui bui","acd-s_b.htm#1460","a swing; to swing"
"*bui₃","acd-s_b.htm#1458","a swing; to swing"
"*buis","acd-s_b.htm#1454","pull back and forth"
"*bujeq ni wahiR","acd-s_b.htm#1473","foam on the surface of water"
"*bujeq₂","acd-s_b.htm#1468","foam, bubbles, lather, scum, froth; to foam, to bubble; foam at the mouth; fond of talking; type of white bead"
"*buk","acd-s_b.htm#1527","sound of a dull thud"
"*buka","acd-s_b.htm#1479","to open, uncover, expose"
"*bukal₁","acd-s_b.htm#1475","bubble up, as spring water"
"*buŋkaR","acd-s_b.htm#1893","take apart, dismantle; break open"
"*bukbuk₁","acd-s_b.htm#1486","bubbling, boiling"
"*bukbuk₂","acd-s_b.htm#1487","hit, pound, beat"
"*bukbuk₃","acd-s_b.htm#1489","weevil that infests wood, bamboo, and rice; dust produced by the boring of this insect; tooth decay, dental caries"
"*bukbuk-an","acd-s_b.htm#1493","attacked by wood worms"
"*buket","acd-s_b.htm#1505","thick, viscous"
"*bukij","acd-s_b.htm#1506","mountain; forested inland mountain areas"
"*buku buku","acd-s_b.htm#1525","joints, nodes"
"*buku lali","acd-s_b.htm#1519","ankle"
"*buku-an","acd-s_b.htm#1516","have joints"
"*bukuh","acd-s_b.htm#1513","node (as in bamboo or sugarcane); joint; knuckle; knot in wood; knot in string or rope"
"*buŋkuk","acd-s_b.htm#1897","bent, crooked"
"*buŋkul","acd-s_b.htm#1898","swelling; lump or bump under the skin; wad of something"
"*bu(ŋ)kuq","acd-s_b.htm#1921","bend, bent, bowed"
"*bukut","acd-s_b.htm#1512","hunchback"
"*bulah","acd-s_b.htm#12774","a tree, the Chinese or Philippine mahogany:  Foxw."
"*bulan matay","acd-s_b.htm#1546","new moon, eclipse (lit. 'dead moon')"
"*bulan₁","acd-s_b.htm#1548","kind of shellfish; eye of cateye shell"
"*bulan₂","acd-s_b.htm#1550","unnaturally white, albino"
"*bulan₃","acd-s_b.htm#1534","moon, month; menstruation; shell disk collar piece"
"*bulan-bulan₁","acd-s_b.htm#1532","a white fish, the tarpon:"
"*bulan-bulan₂","acd-s_b.htm#1545","each month, every month, monthly; for months"
"*bulaR₁","acd-s_b.htm#1552","cataract of the eye; hazy or blurred vision"
"*bulaR₂","acd-s_b.htm#1554","unnaturally white, albino"
"*bulat₁","acd-s_b.htm#1557","open the eyes wide, stare with round eyes"
"*bulati","acd-s_b.htm#1556","roundworm, ascaris, intestinal worm; also earthworm?"
"*bulaw","acd-s_b.htm#1560","golden colored"
"*bulaw-an","acd-s_b.htm#1561","gold"
"*bulbul","acd-s_b.htm#1568","dust, pulverized stone"
"*buli-","acd-s_b.htm#1591","prefix of the *qali, *kali- series"
"*bulilik","acd-s_b.htm#1580","lizard sp."
"*buliq₁","acd-s_b.htm#1582","cowrie shell:"
"*buliq₂","acd-s_b.htm#1584","rectum, anus, buttocks"
"*buliR","acd-s_b.htm#1585","(entire) stalk of bananas; ear of grain"
"*bulit₁","acd-s_b.htm#1588","caulk, fill up a hole or crack with viscous material"
"*bulu bulu","acd-s_b.htm#1618","hairy; hair-like growths; plants with hair-like growths"
"*bulu ni babuy","acd-s_b.htm#1620","pig bristles; type of sea urchin with thin black spines"
"*bulu ni manuk","acd-s_b.htm#1621","chicken feathers"
"*bulu ni mata","acd-s_b.htm#1615","eyelash"
"*bulu₁","acd-s_b.htm#1608","body hair; fur; feather; down; floss on plant stems; color; type, kind"
"*bulu₂","acd-s_b.htm#1624","wash the hands"
"*bulud₃","acd-s_b.htm#1571","mountain"
"*bulun","acd-s_b.htm#1598","companion"
"*bulu-n","acd-s_b.htm#1614","hair of, fur of"
"*buluŋ₁","acd-s_b.htm#1626","dark blue, bluish-black"
"*buluŋ₂","acd-s_b.htm#1628","medicinal herbs"
"*buluq₁","acd-s_b.htm#1599","a constellation: the Pleiades"
"*buluq₂","acd-s_b.htm#1601","type of slender bamboo;  spp."
"*bulut₁","acd-s_b.htm#1606","hairy filaments of certain plants, husk"
"*buna","acd-s_b.htm#1636","batfish:  spp."
"*bunaR","acd-s_b.htm#1635","batfish:  spp."
"*bunat","acd-s_b.htm#11265","a plant used to stun fish:"
"*bunbun","acd-s_b.htm#1642","fill a hole with earth; cover something with a heap of earth"
"*buni₁","acd-s_b.htm#1648","hide, conceal"
"*buni-buni","acd-s_b.htm#1650","be secretive"
"*bunubun","acd-s_b.htm#1633","rice seedling"
"*bunuq₂","acd-s_b.htm#1685","throw at, hit, strike with a sharp object; kill; extinguish (a fire)"
"*bunut₁","acd-s_b.htm#1698","coconut husk, coir"
"*buNuq₁","acd-s_b.htm#1681","a constellation: the Pleiades"
"*buñi","acd-s_b.htm#1890","noise, sound"
"*buŋ","acd-s_b.htm#1918","deep resounding sound"
"*buŋa","acd-s_b.htm#1871","flower, blossom; to flower, bear flowers; yield a benefit (as interest on a loan); first-born child; cotton; vulva (refined or evasive), skin rash, prickly heat; speckled (of fish); kidneys"
"*buŋa na batu","acd-s_b.htm#1878","coral sponge"
"*buŋa na kahiw","acd-s_b.htm#1881","blossom of a fruit tree"
"*buŋa ni hapuy","acd-s_b.htm#1880","sparks from a fire"
"*buŋaŋ","acd-s_b.htm#1882","flower, blossom"
"*buŋas","acd-s_b.htm#1867","first of anything; first fruits; prime, new, untainted, virgin"
"*buŋbuŋ₄","acd-s_b.htm#1886","swell up"
"*bu(ŋ)kas","acd-s_b.htm#1894","to open, uncover"
"*buŋuR","acd-s_b.htm#1913","tree sp."
"*buqaŋ","acd-s_b.htm#1715","discard, throw away; banish"
"*buqaR","acd-s_b.htm#1708","kind of tree the leaves of which are used as poultices for boils"
"*buqay","acd-s_b.htm#1714","to sway, swing (as a cradle)"
"*buqaya","acd-s_b.htm#1711","crocodile; greedy"
"*buqbuq","acd-s_b.htm#1721","pour, pour out, as water or grain from a container"
"*buqeni","acd-s_b.htm#1726","ringworm:"
"*buqiq","acd-s_b.htm#1731","froth, foam"
"*buri₁","acd-s_b.htm#1763","palm sp:"
"*burit₂","acd-s_b.htm#1762","line, stripe"
"*burit₁","acd-s_b.htm#1760","hind part, rear, back"
"*burun","acd-s_b.htm#1774","inferior type of betel nut"
"*buRah","acd-s_b.htm#1752","spray water from the mouth; spray a mixture of saliva and masticated medicinal herbs on an ailing body part in curing"
"*buRah-an","acd-s_b.htm#1754","be sprayed from the mouth"
"*buRaw","acd-s_b.htm#1737","drive off, chase away, expel"
"*buRbuR₁","acd-s_b.htm#1745","rice porridge, rice gruel"
"*buRbuR₂","acd-s_b.htm#1747","wood worm"
"*buR(e)hu","acd-s_b.htm#12558","jealous"
"*buRehuʔ","acd-s_b.htm#1748","envious, jealous"
"*buRiq","acd-s_b.htm#1756","wash, as the hands"
"*buRit₁","acd-s_b.htm#1758","hind part, rear, back; base, bottom"
"*buRsuk","acd-s_b.htm#1766","drive or force into"
"*buRtaq","acd-s_b.htm#1767","earth, soil, mud"
"*buRuk","acd-s_b.htm#1770","rotten meat; addled eggs; bad character"
"*busa₁","acd-s_b.htm#1779","foam, suds"
"*busaw","acd-s_b.htm#1776","glutton"
"*busay","acd-s_b.htm#1778","drive animals away"
"*busbus","acd-s_b.htm#1781","leak, spill through, stream out from a hole in a container"
"*buseq","acd-s_b.htm#1790","foam, bubbles"
"*busuk","acd-s_b.htm#1795","decayed, rotten, putrid; stinking"
"*busuR₁","acd-s_b.htm#1796","enemy"
"*busuR₂","acd-s_b.htm#1798","hunting bow; bow-like instrument used to card kapok fiber"
"*buta₁","acd-s_b.htm#1382","mote in the eye; blind; blindness"
"*buta-en mata","acd-s_b.htm#1387","get a mote in the eye"
"*buntal","acd-s_b.htm#1657","puffer fish sp."
"*buntaŋ","acd-s_b.htm#1660","break through, of water"
"*butaq₂","acd-s_b.htm#1811","tree with poisonous sap"
"*butbut₂","acd-s_b.htm#8372","pull up (as weeds), pluck (as feathers)"
"*butbut-i","acd-s_b.htm#1396","pull out, uproot, pluck"
"*buteliR","acd-s_b.htm#1815","wart; cyst; non-purulent skin eruption"
"*buteŋ","acd-s_b.htm#1822","short-tempered, hot-headed, quick to fight"
"*butequl","acd-s_b.htm#1819","hard seed; burl, knot in wood"
"*bunter","acd-s_b.htm#1662","distended, inflated (of the belly)"
"*bunteR","acd-s_b.htm#1661","round"
"*buntu","acd-s_b.htm#1675","small hill, knoll"
"*buntu buntu","acd-s_b.htm#1677","small hill, knoll"
"*butu₁","acd-s_b.htm#1406","callus, corn; blister"
"*buntud","acd-s_b.htm#1666","small hill, knoll"
"*butuk","acd-s_b.htm#1829","knock, pound, beat"
"*buntul","acd-s_b.htm#1668","small hill, knoll"
"*buntul buntul","acd-s_b.htm#1670","small hill, knoll"
"*butun","acd-s_b.htm#1832","a shore tree:  spp."
"*butuq","acd-s_b.htm#1403","testicles of animals; castrate animals"
"*butus","acd-s_b.htm#1834","snap, break, as a rope under tension"
"*buntut₁","acd-s_b.htm#1673","rear end of a chicken"
"*buntuʔ","acd-s_b.htm#1678","bloated, swollen (of the belly)"
"*buuŋ","acd-s_b.htm#1850","buzzing or humming sound"
"*buʔut","acd-s_b.htm#1915","coconut husk"
"*cabut","acd-s_c1.htm#9476","pull out with force"
"*ca(ŋ)ket","acd-s_c1.htm#2047","sticky, stick to"
"*cekas","acd-s_c1.htm#2058","quick, swift"
"*cekel","acd-s_c1.htm#2061","choke, strangle"
"*cekep","acd-s_c1.htm#2062","seize, grasp"
"*celeb","acd-s_c1.htm#2066","sink, submerge"
"*ceŋap","acd-s_c1.htm#2079","seize in the mouth or beak"
"*cep(e)qak","acd-s_c1.htm#2071","crack, split, break; sound of cracking, splitting, breaking"
"*cepuk","acd-s_c1.htm#2070","dull sound"
"*cerik","acd-s_c1.htm#2076","shrill, of the voice"
"*cikep","acd-s_c1.htm#2089","catch with the hands"
"*cilak","acd-s_c1.htm#2093","to shine, of heavenly bodies"
"*ciŋaŋ","acd-s_c1.htm#2102","gape, open the mouth"
"*ci(ŋ)kuk","acd-s_c1.htm#2104","bent, curved"
"*cukcuk","acd-s_c1.htm#2115","skewer"
"*cu(l)cul","acd-s_c1.htm#2175","insert"
"*cupcup","acd-s_c1.htm#2139","sip, suck"
"*CabCab","acd-s_c2.htm#1935","clap, beat, hack"
"*CaCaw","acd-s_c2.htm#1936","pupil of the eye"
"*Cakaw-an","acd-s_c2.htm#1950","(gloss uncertain)"
"*CaNem-en","acd-s_c2.htm#7451","what is buried or planted"
"*Cebuj","acd-s_c2.htm#2050","natural spring, fresh water spring"
"*CegCeg","acd-s_c2.htm#5459","to beat, pound on"
"*CelCel","acd-s_c2.htm#2065","beat, pound"
"*Cenek","acd-s_c2.htm#2069","thorn"
"*Cikel","acd-s_c2.htm#2088","return, go back"
"*C<in>akaw","acd-s_c2.htm#1948","what is stolen, stolen goods; was stolen (past tense of direct passive)"
"*-Cu","acd-s_c2.htm#2168","2pl deixis and spatio-temporal reference: that; there, then"
"*Cukul","acd-s_c2.htm#5706","huddle, bow the head"
"*C<um>aki","acd-s_c2.htm#1957","defecate"
"*C<um>aŋis","acd-s_c2.htm#7773","to weep, cry, mourn"
"*Cumek","acd-s_c2.htm#2118","pulverize; crumble"
"*CuŋCuŋ","acd-s_c2.htm#10559","make a booming sound"
"*CuSuR-en","acd-s_c2.htm#2152","be strung, be skewered"
"*daₐ","acd-s_d.htm#8798","locative case marker for plural personal names"
"*da-amax","acd-s_a1.htm#135","father"
"*dabuk₁","acd-s_d.htm#2179","pound, beat"
"*dadan","acd-s_d.htm#7019","old, of things; ancient times"
"*da-duha","acd-s_d.htm#7878","two, of people"
"*dahun-dahun","acd-s_d.htm#6929","foliage, leaves"
"*dahun","acd-s_d.htm#6923","leaf; blade of paddle or oar; ‘table’ for eating"
"*dahun nu taliŋa","acd-s_d.htm#6931","the auricle or shell of the ear"
"*dajem","acd-s_d.htm#2183","chills, as of malaria"
"*daŋkaq","acd-s_d.htm#2207","branch"
"*dakep","acd-s_d.htm#7077","catch, seize; embrace"
"*dakep-en","acd-s_d.htm#7080","be caught, captured"
"*daŋkeq","acd-s_d.htm#2208","branch, twig"
"*daki","acd-s_d.htm#6920","dirt on skin; dandruff; tartar on teeth"
"*dakiS","acd-s_d.htm#6612","climb, ascend"
"*dakit","acd-s_d.htm#2185","join along the length; raft"
"*dakuC","acd-s_d.htm#2186","snatch, grab"
"*dalayap","acd-s_d.htm#6856","kind of citrus tree and fruit"
"*dalem","acd-s_d.htm#7108","insides, area within, inner part of something; between; below, under; deep; mind, feelings, liver (fig.)"
"*dalem qatay","acd-s_d.htm#7096","hold within (of emotions, thoughts)?"
"*dalij","acd-s_d.htm#2189","buttress root"
"*dalikan","acd-s_d.htm#2190","trivet, arrangement of three stones on which the cooking pot is placed"
"*dalit₁","acd-s_d.htm#2193","glue, paste, plaster, caulk"
"*dalit₂","acd-s_d.htm#2194","smooth, slippery"
"*dalu₁","acd-s_d.htm#7102","a flying white ant or termite"
"*damaR₁","acd-s_d.htm#8079","tree resin used in torches (?)"
"*danaw","acd-s_d.htm#7109","lake"
"*danum","acd-s_d.htm#7457","fresh water"
"*danum-an","acd-s_d.htm#7463","(gloss uncertain)"
"*daNi","acd-s_d.htm#12187","soon, presently; almost"
"*daŋdaŋ₁","acd-s_d.htm#6964","warm oneself or something near a fire; heat or dry near a fire"
"*daŋdaŋ-an","acd-s_d.htm#6969","place something near a fire"
"*da(ŋ)ket","acd-s_d.htm#2213","stick, adhere to"
"*dapa","acd-s_d.htm#2210","palm of the hand"
"*da(m)paD","acd-s_d.htm#2209","flat, level"
"*dapan","acd-s_d.htm#6919","sole of the foot"
"*dapaR","acd-s_d.htm#8069","flat, level, even"
"*dapdap₁","acd-s_d.htm#7098","a tree with dense clusters of red flowers, the Indian coral tree,"
"*dapet","acd-s_d.htm#8075","to place in contact with one another, come in contact, space closely"
"*dapuR₁","acd-s_d.htm#8042","hearth"
"*dapuR₂","acd-s_d.htm#12082","pile up, as stones"
"*daqan kahiw","acd-s_d.htm#7203","branch of a tree"
"*daqan₁","acd-s_d.htm#7201","branch, bough"
"*daqan₂","acd-s_d.htm#12063","old, ancient; formerly"
"*daqani","acd-s_d.htm#12064","day"
"*daqih","acd-s_d.htm#6465","forehead; face"
"*daqu₁","acd-s_d.htm#2198","a tree:"
"*daRa₂","acd-s_d.htm#8083","maiden, virgin, unmarried girl"
"*daRa-daRaq","acd-s_d.htm#7209","bloody"
"*daRaq","acd-s_d.htm#7205","blood; to bleed; menstruate"
"*daRat","acd-s_d.htm#6503","littoral sea, sea near the shore"
"*daReq","acd-s_d.htm#2200","soil, probably clay"
"*daRi","acd-s_d.htm#2201","a fish:  sp."
"*daRiŋ","acd-s_d.htm#2202","groan, moan"
"*daSdaS","acd-s_d.htm#2203","chest (anat.)"
"*dataR","acd-s_d.htm#7564","flat, flat or level land"
"*dateŋ","acd-s_d.htm#7986","to arrive, reach a place"
"*datu","acd-s_d.htm#6857","lineage priest (?)"
"*daya","acd-s_d.htm#7210","upriver, toward the interior"
"*debdeb","acd-s_d.htm#2216","chest"
"*debek","acd-s_d.htm#2217","smack against"
"*dedap","acd-s_d.htm#2218","a tree:  spp."
"*de(ŋ)guk","acd-s_d.htm#2244","deep throaty sound"
"*dekdek","acd-s_d.htm#6504","pulverize, crush by pounding"
"*dekdek₂","acd-s_d.htm#12798","to tamp down, compact something"
"*dekep","acd-s_d.htm#2222","embrace"
"*deket₁","acd-s_d.htm#8088","paste, adhesive (probably made of overcooked rice)"
"*dekiŋ","acd-s_d.htm#2223","to bark, of a deer"
"*de(ŋ)kit","acd-s_d.htm#2245","touching or joined along the length"
"*deku","acd-s_d.htm#12402","bent, curved"
"*dekuk","acd-s_d.htm#2224","bow, bend downward"
"*dekuŋ","acd-s_d.htm#12014","to bend over"
"*delem","acd-s_d.htm#11981","dark of the moon, moonless night"
"*delep","acd-s_d.htm#2225","submerge, sink"
"*deles","acd-s_d.htm#2226","bowstring"
